Title,Author,Genre,ReleaseYear
Celestial Echoes,Al Ewing,Fantasy,2003
Emerald Enigma,Neil Gaiman,Fantasy,1983
Mystic Convergence,Tom Taylor,Fantasy,1999
Subterranean Secret,Rainbow Rowell,Sci-Fi,1980
Inferno,Jonathan Hickman,Horror,1996
Forgotten Lore,Grant Morrison,Fantasy,1988
Omega Point,Brian K. Vaughan,Sci-Fi,2000
Crimson Horizon,Jonathan Hickman,Sci-Fi,2010
Phantom Tide,Jonathan Hickman,Mystery,2004
Galactic Rift,Al Ewing,Sci-Fi,1987
Quantum Shift,Saladin Ahmed,Sci-Fi,1986
Vortex Veil,Tom Taylor,Sci-Fi,1995
Astral Odyssey,G. Willow Wilson,Sci-Fi,2004
Oceanic Abyss,Jonathan Hickman,Adventure,2004
Legendary Battle,Neil Gaiman,Fantasy,1982
Doomsday Clock,Saladin Ahmed,Superhero,2006
Parallel Universe,Grant Morrison,Sci-Fi,2010
Clockwork Universe,Ta-Nehisi Coates,Sci-Fi,1998
Hard Boiled,Jonathan Hickman,Crime,1991
Justice League,Chip Zdarsky,Superhero,2006
Hurricane,Al Ewing,Action,2003
Revolution,Saladin Ahmed,Action,1982
Dimensional Rift,Tom Taylor,Sci-Fi,1999
Private Eye,Chip Zdarsky,Mystery,2005
Shadow Syndicate,G. Willow Wilson,Superhero,2007
Neon Specter,Brian K. Vaughan,Superhero,1984
Lunar Vanguard,Grant Morrison,Sci-Fi,1989
Solar Sentinel,Al Ewing,Sci-Fi,1999
Nightfall Brigade,Chip Zdarsky,Superhero,2005
Arctic Front,Rainbow Rowell,Adventure,1986
Lost Civilization,Jonathan Hickman,Adventure,1991
Final Hour,Grant Morrison,Action,1987
Alternate Reality,Chip Zdarsky,Sci-Fi,2003
Steampunk Revolution,G. Willow Wilson,Sci-Fi,1981
Femme Fatale,Tom Taylor,Crime,2003
Runtowards,Brian K. Vaughan,Superhero,2005
Time Warp,Grant Morrison,Sci-Fi,1987
History Rewritten,Kelly Sue DeConnick,Sci-Fi,1995
Pulp Heroes,Rainbow Rowell,Action,1980
Ironclad Legacy,Al Ewing,Sci-Fi,2004
Atomic Frontier,Grant Morrison,Sci-Fi,1988
Terra Tempest,Saladin Ahmed,Sci-Fi,1981
Dawnbreaker Legion,Kelly Sue DeConnick,Superhero,1995
Desert Mirage,Jonathan Hickman,Adventure,1989
Ember,Chip Zdarsky,Fantasy,2002
Eruption,Al Ewing,Action,2010
Blaze,Jonathan Hickman,Action,1985
Genetic Divide,Tom Taylor,Sci-Fi,1999
Feral Fury,Matt Fraction,Fantasy,1984
Untamed Lands,Grant Morrison,Fantasy,1980
Wild Card,Kelly Sue DeConnick,Superhero,1990
Apex Predator,Brian K. Vaughan,Action,1980
Stone Age,Saladin Ahmed,Adventure,1987
Aftermath,G. Willow Wilson,Sci-Fi,1989
Digital Frontier,Mariko Tamaki,Sci-Fi,2006
Virtual Reality,Saladin Ahmed,Sci-Fi,1991
Code Breakers,Jonathan Hickman,Sci-Fi,1987
Binary Legion,G. Willow Wilson,Sci-Fi,1990
Nano Revolution,Neil Gaiman,Sci-Fi,2005
Mutant Uprising,G. Willow Wilson,Superhero,1984
Primal Instinct,G. Willow Wilson,Fantasy,2007
Epic Saga,Mariko Tamaki,Fantasy,2006
Zero Hour,Kelly Sue DeConnick,Action,1981
Time Traveler,Chip Zdarsky,Sci-Fi,1994
Retro Future,Al Ewing,Sci-Fi,1995
Cybernetic Dawn,Jonathan Hickman,Sci-Fi,1982
Glitch World,Chip Zdarsky,Sci-Fi,2004
Data Stream,Jonathan Hickman,Sci-Fi,1989
Silicon Valley,Grant Morrison,Slice of Life,1987
Biohazard Zone,Kelly Sue DeConnick,Sci-Fi,2001
Evolved Era,G. Willow Wilson,Sci-Fi,1997
Savage World,Tom Taylor,Fantasy,2010
Heroic Age,Jonathan Hickman,Superhero,1985
Last Stand,Jonathan Hickman,Action,2010
Future Shock,Chip Zdarsky,Sci-Fi,2010
Atomic Age,Jonathan Hickman,Sci-Fi,1987
Mob Boss,Brian K. Vaughan,Crime,1999
Villainous Plot,Jonathan Hickman,Mystery,1987
Fallen Kingdom,Saladin Ahmed,Fantasy,1986
Past Tense,Saladin Ahmed,Sci-Fi,2009
Ray Gun Gothic,Tom Taylor,Sci-Fi,2004
Gangland,Kelly Sue DeConnick,Crime,2001
Guardians of the Galaxy,Jonathan Hickman,Sci-Fi,1981
Ice Age,Matt Fraction,Adventure,1984
Cinder,Saladin Ahmed,Fantasy,1998
Bronze Age,Saladin Ahmed,Sci-Fi,1995
Iron Age,Matt Fraction,Sci-Fi,2007
Crime Wave,Grant Morrison,Crime,1996
Fantastic Four,Brian K. Vaughan,Superhero,1994
Sub Zero,G. Willow Wilson,Adventure,1980
Ash,Grant Morrison,Action,1996
Sunset Runner,Brian K. Vaughan,Superhero,2010
New Mutants,G. Willow Wilson,Superhero,1980
Avalanche,Chip Zdarsky,Action,2002
Shattered Empire,Ta-Nehisi Coates,Sci-Fi,1998
New Dawn,Tom Taylor,Sci-Fi,2004
Rebirth,Matt Fraction,Sci-Fi,1987
Genesis,Jonathan Hickman,Sci-Fi,2007
Exodus,Jonathan Hickman,Sci-Fi,1995
Revelations,Saladin Ahmed,Fantasy,1993
Armageddon,Rainbow Rowell,Action,2010
Apocalypse Now,Al Ewing,Action,1981
Cosmic War,Neil Gaiman,Sci-Fi,1992
Interstellar Conflict,Al Ewing,Sci-Fi,1980
Black Ice,Chip Zdarsky,Adventure,1996
Galactic Empire,Matt Fraction,Sci-Fi,2003
Space Pirates,Saladin Ahmed,Sci-Fi,1998
Alien Invasion,Chip Zdarsky,Sci-Fi,2004
Starship Troopers,Saladin Ahmed,Sci-Fi,1993
Battle Fleet,G. Willow Wilson,Sci-Fi,1997
Laser Sword,Grant Morrison,Sci-Fi,1996
Plasma Cannon,Matt Fraction,Sci-Fi,2010
Quantum Drive,Kelly Sue DeConnick,Sci-Fi,2003
Temporal Anomaly,Neil Gaiman,Sci-Fi,1982
Parallel Parking,Neil Gaiman,Fantasy,1992
Upside Down,Tom Taylor,Sci-Fi,1983
Just For Justice,Matt Fraction,Superhero,2008
Avengers Assemble,Rainbow Rowell,Superhero,1991
X-Force,Chip Zdarsky,Superhero,1980
Suicide Squad,Brian K. Vaughan,Superhero,2005
Guardians of the Grove,Kelly Sue DeConnick,Sci-Fi,1998
Fantastic Four Hundred,Kelly Sue DeConnick,Superhero,2010
Teen Titans,Jonathan Hickman,Superhero,1994
Young Avengers,Chip Zdarsky,Superhero,2002
Runaways,Chip Zdarsky,Superhero,2009
New Plants,Saladin Ahmed,Superhero,2009
Alpha Flight,Matt Fraction,Superhero,2008
Outsiders,G. Willow Wilson,Superhero,1990
Birds of Prey,Brian K. Vaughan,Superhero,2000
Deep Freeze,G. Willow Wilson,Adventure,1983
Whiteout,Saladin Ahmed,Adventure,1982
Shadow Walker,Saladin Ahmed,Superhero,1985
Night Hunter,Brian K. Vaughan,Superhero,1999
Dark Avenger,Jonathan Hickman,Superhero,1987
Phantom Rider,Grant Morrison,Superhero,1990
Silent Assassin,Chip Zdarsky,Action,1998
Masked Vigilante,Tom Taylor,Superhero,2004
Secret Identity,Brian K. Vaughan,Superhero,1985
Hidden Agenda,Chip Zdarsky,Mystery,2007
Conspiracy Theory,Al Ewing,Mystery,1981
Mythic Quest,Chip Zdarsky,Fantasy,1990
Dark Prophecy,Brian K. Vaughan,Fantasy,1994
Noir City,Jonathan Hickman,Crime,1992
